,tweetID,tweetText,tweetRetweetCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
164,916785382850621440,RT @WildForests: How much representation do #Australia's 600 threatened species get from their MPs? https://t.co/dMZoSG1S36 https://t.co/Wu…,6,Twitter for iPhone,2017-10-07 22:00:42,226738150,FLYFLEDGLINGFLY,Margaret M Bennett,2010-12-14 23:20:01,"MAKE Time to smell the Roses, while they're blooming at their best, BEFORE their fragrance fades and their beauty's laid to rest! GOD BLESS!",1189,2540,Australia,Sydney
169,916785130861137920,A twist of lime #billboard #billboardart #food #foodart #Sydney #Australia #travel #instacool… https://t.co/wktwFfqdsz,1,Instagram,2017-10-07 21:59:42,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
182,916784460179361792,Fruit and veggie sculptures #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/EyAXwGPozr,1,Instagram,2017-10-07 21:57:02,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
184,916784237398728705,You are a sweet heart Fruit #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/QmknmlyE9S,1,Instagram,2017-10-07 21:56:09,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
190,916783871940730880,Stairway to juice heaven.... #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/VVfbsXgUVF,4,Instagram,2017-10-07 21:54:42,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
199,916783264110608384,King of the world... or the broccoli #billboard #billboardart #food #foodart #Sydney #Australia… https://t.co/Pl6O7T71hT,0,Instagram,2017-10-07 21:52:17,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
203,916782998804033536,Fruit and veggie sculptures #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/ytsVbulGVN,0,Instagram,2017-10-07 21:51:14,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
206,916782713562116097,Study Loans is the first private #student loans offering in #Australia https://t.co/DTNfJtXGSu #fintech #startup #loans #investors,0,Hootsuite,2017-10-07 21:50:06,21282222,YellCreative,Yell Creative,2009-02-19 07:52:35,"Connecting fin services with their customers through creativity, expertise and insights #customerexperience #marketingstrategy #digitalmarketing #fintech #media",585,974,"Surry Hills, Sydney",Sydney
212,916782416903077888,Fruit and veggie sculptures #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/L6T9CB3Za1,0,Instagram,2017-10-07 21:48:55,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
217,916781735941230592,Fruit and veggie sculptures #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/rXmy5lvPjY,0,Instagram,2017-10-07 21:46:13,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
226,916780665839935488,Fruit and veggie sculptures #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/d4HsZBoHe5,0,Instagram,2017-10-07 21:41:58,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
228,916780324692070401,Fruit and veggie sculptures #billboard #billboardart #food #foodart #Sydney #Australia #travel… https://t.co/9OhYRZwDOs,0,Instagram,2017-10-07 21:40:37,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
263,916777949445214208,Order up! #cafe #coffee  #dessert #queenspastrihouse #Sydney #Australia #travel #instacool… https://t.co/qjt8QCMpG0,0,Instagram,2017-10-07 21:31:10,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
267,916777516370718720,Cafe couture #cafe #coffee  #dessert #queenspastrihouse #Sydney #Australia #travel #instacool… https://t.co/no6LjXdk4U,0,Instagram,2017-10-07 21:29:27,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
277,916776589676785664,Pull up a seat and stay a while...  #dessert #coffee #queenspastrihouse #Sydney #Australia… https://t.co/MYXFqVzPbo,0,Instagram,2017-10-07 21:25:46,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
281,916776285900218368,Top day! ????? #Sunshine #AvocaBeach #Australia https://t.co/58Eqkw52V1,0,Twitter for iPhone,2017-10-07 21:24:34,3108245485,MrMichaelSharpe,Michael Sharpe ??,2015-03-26 10:38:59,Advance Australia,8281,8928,Australia,Sydney
282,916776251729285122,Orange bliss!  #dessert #croissant #queenspastrihouse #Sydney #Australia #travel #instacool… https://t.co/bDF0sJQkbD,0,Instagram,2017-10-07 21:24:25,391591862,shoegalnycblog,Kaz,2011-10-15 20:23:58,Follow me on Instagram: http://t.co/go5SgduRQR,2009,1874,"Sydney, Australia",Sydney
288,916775162535600128,Make runs while the ? is shining! Score big with #spartan #cricket ?? Upto 2??0??% off- players edition #australia… https://t.co/DwalXqzxdL,0,Twitter for Android,2017-10-07 21:20:06,292118045,SpartanSportsAU,Spartan Sports,2011-05-03 03:57:41,Spartan is passionate about sport. We develop sporting goods which lead to success. Follow us on https://t.co/yA3ICtLF4E… & https://t.co/uQcv3uqdcX…,11744,504,Global,Sydney
336,916770195145977856,New Crowdfunding Laws: Australia Still “Way Behind” Other Countries https://t.co/wXTjJlxCWa #Australia #Crowdfunding,0,Hootsuite,2017-10-07 21:00:21,398437134,SydBizNet,SydBizNet,2011-10-26 02:01:33,Winner: Top 100 Small Business Influencers Award | Business Networking | Small Business | Entrepreneur | Marketing | Relationship Building | Events & Expos,3423,3325,"Sydney, Australia",Sydney
343,916769303847829504,#Australia #Immigration Sixth Manus Island death signals a system in chaos as Australian exit looms https://t.co/PP3xrvgqUO  @brisbanetimes,0,Twitter Web Client,2017-10-07 20:56:49,151674483,timdenney,Tim Denney,2010-06-04 00:09:07,Tim Denney is a global corporate immigration thought leader with over 25 years corporate immigration experience.,667,192,"Sydney, Australia",Sydney
414,916759110762209280,When is foreseen most profits to go offshore as implied in #4Corners doco why risk real environmental cost to… https://t.co/0HAh4aCC8R,9,Twitter Web Client,2017-10-07 20:16:19,1403598307,nicolasnicola22,Nicholas Nicola,2013-05-04 23:05:56,"Hello,printmaking/writing/humanitarian issues Prefer ethics over pragmatism Casual esl/art teach for 'dayjob' RTs/favs/remusings often.CATCH-22. Best regards.NN",971,108,SYDNEY               Born 1959,Sydney
495,916748032569421824,Sinking Moon #moon #cloudporn #clouds #sydney #australia #leica #m246 #summilux #monochrom #leicam #leicacameraaus…… https://t.co/krQCcI6z4S,0,IFTTT,2017-10-07 19:32:17,160505442,JolliffePhoto,Michael Jolliffe,2010-06-28 10:43:24,Photographer. Film and digital.,381,546,Sydney,Sydney
506,916746610670837761,"Some amazing people try to conserve #Australia's wildlife and wild places against overwhelming odds #wildoz
 https://t.co/iR9zSoBcW3",1,Twitter Web Client,2017-10-07 19:26:38,1460984456,wildaboutsydney,Wild About...,2013-05-27 01:03:04,Spruiking nature and wildlife conservation. West Bromwich Albion,1312,2371,Sydney's Northern Beaches.,Sydney
568,916739950451838979,"#ShakedownRadio with @ChrisCaggs
#Australia's #1 Podcast 
Hip Hop RnB &amp; EDM 

https://t.co/CkWmf387K3",0,Statusbrew,2017-10-07 19:00:11,2824738975,ChrisCaggs,Chris Caggs,2014-09-21 17:42:17,#ShakedownRadio - Australia's #1 Podcast of URBAN & EDM: https://t.co/VLT3lMFcs8 iTunes: https://t.co/r4IiX6ZqlV iHeart Radio: https://t.co/KlNXChPull,143104,157550,"Willoughby, Sydney, Australia",Sydney
616,916734892708417536,"Expand your repertoire ~ Upcoming #Bondassage® trainings in the #US, #Australia &amp; #Canada here: https://t.co/f9OEwLMYni",0,Hootsuite,2017-10-07 18:40:05,467844004,BondassageAust,Bondassage Australia,2012-01-18 22:22:53,"Discover The Art of Sensuality, Bondage and Seductive Touch - Experience the Extraordinary.  #bondage  #sensualmassage #byronbay",724,890,"Byron Bay, Australia",Sydney
618,916734640903168000,"well sorted, gutsy Australian 70's Muscle Car, Torana SLR5000
#Australia #GeneralMotors #seventies #muscle https://t.co/Cx4oSwUsOF",1,Twitter Web Client,2017-10-07 18:39:05,764692007969169409,MotorModePics,MotorMode,2016-08-14 05:15:56,"My Motor Art obsession. All tweet photos owned by MotorMode Pty Ltd, photography by Stuart Craine. I don't post images I don't own. Please R/T mine",457,245,,Sydney
995,916703479132938240,@theintercept @fran_b__ @jeremyscahill I guess some don't believe in the truth that tougher gun control measures wo… https://t.co/HRhM78jyoa,0,Twitter Lite,2017-10-07 16:35:15,413624285,vaughan_k,ken,2011-11-16 02:48:37,Why does @Twitter continue to allow companies to send promoted ads when I turned off notification and data for everything?,270,194,,Sydney
1082,916690935207018496,"@rbinhussain Hi Rawan, they say just have a little faith for your upcoming gay boyfriend. 
they are voting yes for… https://t.co/SHovyDxLox",0,Twitter Web Client,2017-10-07 15:45:24,1646143358,Shadhann,Shathan Salim ?????,2013-08-04 21:05:42,"Sydney since 2014, big change. Here are my daily secrets.
Blogger, Science, Health and Life (SHL)
(Scientist/Pathologist)
Share your reviews through my website.",3107,111,Muscat///Sydney,Sydney
1096,916689508048945152,yellow (spring) // splashes of colour // #wildoz #sydney #australia #wetlands #narawangwetlands… https://t.co/LAvzuBD4fE,1,Instagram,2017-10-07 15:39:44,187486279,woodenpalace,seaworthy,2010-09-06 11:05:28,"News from Seaworthy. Notes on field recording, music, environment, surf and other stuff.",1293,409,"Sydney, Australia",Sydney
1168,916683630843355137,Manly Beach #sydney #australia enjoying a coffee ??. #roadbikerentalsydney #cycling #cyclinglife… https://t.co/qdHp8aBylM,0,Instagram,2017-10-07 15:16:23,3041024418,GCrides,Global Cycle Rides,2015-02-25 09:46:33,Road Bike Rental and Road Cycle Rides including Local Ride Leaders & Coffee afterwards in 50 cities worldwide. https://t.co/Ka1p7M30B6,183,224,,Sydney
1181,916682317975998466,Click Flirt https://t.co/ppfOnqGF5z #Dating #Australia,0,IFTTT,2017-10-07 15:11:10,4128915321,ausingles,Aussie Girls,2015-11-06 19:25:11,Best dating sites to meet australian women,14346,13103,Australia,Sydney
1210,916679364401553408,#RoyalNationalPark #WattamollaBeach #NSW #Australia https://t.co/BshW6o4eFH,0,Twitter for iPhone,2017-10-07 14:59:26,135947692,MinaBenyamin,Mina Benyamin,2010-04-22 16:26:28,#UTS_Research #AI #Soft_Robotics #3D_5D_Printing #Smart_Materials #Biomimetic_design #Ubuntu #Python #DJI Professional Engineer. I trust in God.,1217,216,"Sydney, New South Wales",Sydney
1322,916669805632954368,?????? ???????? - ??? ?? ???? ?#Australia #canberra https://t.co/5YS68O3SQQ,1,Twitter for iPhone,2017-10-07 14:21:27,1456307024,parham236,Parham P,2013-05-25 07:58:36,MD,26,224,"Canberra, Australian Capital Territory",Sydney
1348,916667807592411136,RT @KevorkAlmassian: More than 5 thousand entry cards bought by #Iraqi residents in #Australia 2support the #Syrian national team in the st…,22,Twitter Web Client,2017-10-07 14:13:30,228681265,FutbalAnarchy,Football Anarchy,2010-12-20 11:21:55,Anti-Establishment Football Forum,8660,1108,"North Dakota, USA",Sydney
1366,916666766666993665,This is a #beautiful #suburbanstreet #treeslinethestreet #penshurst #sydney #australia @ Penshurst https://t.co/j08NQCwdTn,0,Instagram,2017-10-07 14:09:22,296802328,KamSrimanonukun,Kamon Srimanonukun,2011-05-11 12:38:13,"Banker, System Analyst, Products Test & Support Analyst, Earth trotter, Sports follower, Chocolate lover. Smile & the world will smile back.",126,540,Australia,Sydney
1481,916658643273207808,"If you are applying for a sponsored #job in #Australia, then you need to make sure your resume is top-notch. ?… https://t.co/wb2wuJrbB9",0,CoSchedule,2017-10-07 13:37:05,262830837,sydmovingguide,Sydney Moving Guide,2011-03-08 21:12:03,Are you #moving to #Australia? Grab your Moving to #Sydney Checklist at https://t.co/5MfGPZaXZx. #expat #international #relocation,2474,1112,"Sydney, New South Wales",Sydney
1491,916657508487389185,GREAT #GOSPEL ON NOW !  CHANNEL 54 55  64 74 @SonLifeNetwork @GabeSwaggart #LivingWaters #Australia https://t.co/O1qfGFdZ1c   NEW JERUSALEM!,0,Twitter Web Client,2017-10-07 13:32:35,2236870783,CathCath77,CATH,2013-12-09 02:16:40,,787,728,AUSTRALIA,Sydney
1532,916654626761449473,John Curtin becomes the fourteenth Prime Minister of Australia. #australia #history https://t.co/YoKm2jSjZw,1,OzHistory,2017-10-07 13:21:08,804986047708811264,OzHistory,Australian History,2016-12-03 09:50:04,We share fascinating Australian history. Account by @BeliefMedia. Find current Sydney news and history at @SydneyNews.,150,12,"Sydney, New South Wales",Sydney
1573,916651981980049409,GREAT #GOSPEL ON NOW !  CHANNEL 54 55  64 74 @SonLifeNetwork @GabeSwaggart #LivingWaters   #Australia,0,Twitter Web Client,2017-10-07 13:10:37,2236870783,CathCath77,CATH,2013-12-09 02:16:40,,787,728,AUSTRALIA,Sydney
1603,916649972057235456,"Picking up and starting a new life as a #Sydney local may seem a daunting prospect, but living in #Australia does... https://t.co/FFluXRN6tf",0,CoSchedule,2017-10-07 13:02:38,262830837,sydmovingguide,Sydney Moving Guide,2011-03-08 21:12:03,Are you #moving to #Australia? Grab your Moving to #Sydney Checklist at https://t.co/5MfGPZaXZx. #expat #international #relocation,2474,1112,"Sydney, New South Wales",Sydney
1613,916648396550660096,#Canberra #Australia ?? https://t.co/7FDwlER1BM,0,Twitter for iPhone,2017-10-07 12:56:22,178662965,ClareMortensen,Clare Mortensen,2010-08-15 10:14:33,"Senior Producer @ABCCanberra (soon to be EBC NSW/ACT @ABCEmergency)  Former BBC Journo | My views, not those of the Australian Broadcasting Corporation",932,666,"Canberra, Australia",Sydney
1624,916647312604020738,"https://t.co/VEGdP455hE

#Streetwear #Streetfashion #hisandhers #bomberjacket #Melbourne #Australia #urbanwear… https://t.co/IPWd9guLHa",1,Twitter for Android,2017-10-07 12:52:04,1147606356,PKTRKT_APPAREL,Poket Roket Apparel,2013-02-04 10:29:38,"Radiating passion, creativity and self expression 
















? Sydney ? Melbourne





? Melbourne Store - TBA ?",1131,717,"Melbourne, Victoria",Sydney
1679,916640971479244805,Over 20 Australian companies from different sectors will participate in #Azerbaijan-#Australia Business Forum #Baku https://t.co/DCohnUss2M,2,Twitter for iPhone,2017-10-07 12:26:52,1728407784,AzEmbAustralia,Azerbaijan-Australia,2013-09-04 11:20:09,"Welcome to the Official Twitter Account of the Embassy of the Republic of #Azerbaijan ?? in #Australia ??, #NewZealand ?? and #Fiji ??",1078,315,"Canberra, Australia",Sydney
1706,916639285444599809,Janelles Pet Resort have amended their page visit them on https://t.co/PA5C9Bfz5i #Australia #business #Chambers Flat,0,Webnetwork.com.au,2017-10-07 12:20:10,482257470,Webnetwork1,Webnetwork.com.au,2012-02-03 18:08:06,Free Australian small business directory and events search engine - Google friendly full page listings and mobile friendly - Sign Up Today,1411,105,Australia,Sydney
1724,916637445617213440,#Azerbaijan-#Australia Business Forum to be held in #Baku https://t.co/DCohnUK2Uk https://t.co/aIzUBbu21i,1,Twitter for iPhone,2017-10-07 12:12:51,1728407784,AzEmbAustralia,Azerbaijan-Australia,2013-09-04 11:20:09,"Welcome to the Official Twitter Account of the Embassy of the Republic of #Azerbaijan ?? in #Australia ??, #NewZealand ?? and #Fiji ??",1078,315,"Canberra, Australia",Sydney
1788,916631128618029056,"Have you ever seen yellow Cherry Blossoms? Check them out -  https://t.co/aUAcfSVXVB
.
.
.
#cherryblossoms #travel… https://t.co/KHfN39ZiNG",0,Buffer,2017-10-07 11:47:45,67239995,Sunjhini,Rajlakshmi,2009-08-20 05:40:16,"Lost in the myriad of random verses and pixellated views | Software Engineer |
#Lifestyle blog - https://t.co/BYQcOstfbq #Travel - https://t.co/oYcyL0By2g",1415,855,"Sydney, New South Wales",Sydney
1793,916630490878173185,The problems #healthtech and #biotech startups in #Australia are solving https://t.co/FJJCpone5H #medical #startup #ecosystem #innovation,2,Twitter Web Client,2017-10-07 11:45:13,127192221,JanelleBowden,Janelle Bowden,2010-03-28 11:12:48,"All about better #clinicaltrials, #technology, #innovation. Behind #WhyClinicalTrialsMatter advocacy, #AusCT chat and @Res4Me, supporting patient CT partners",1253,1276,"Sydney, Australia",Sydney
1816,916628867367890944,AWU Wilson Gillard et al is now fact thanks to Murphy's law https://t.co/LsWDh52jdk 0 #auspol #ausnews #australia,1,Twitter for iPhone,2017-10-07 11:38:46,48992928,Polliwatch,insightWORLDnews,2009-06-20 12:21:33,"WORLD NEWS, VIEWS & INSIGHT retweets or follows do not imply endorsement of any textual or visual content in any way.",2470,3101,New York and Sydney Australia,Sydney
30,916795039694467072,#Communications Business Analyst - LTE / 4G / 3G: Great opportunity for a BA with… https://t.co/g94kcKPpp4 #Australia #ITjobs,0,dlvr.it,2017-10-07 22:39:05,338785232,PaxusIT,Paxus Tech + Digital,2011-07-20 02:49:32,"Looking for a #job in #IT, #digital, #SAP or #tech? We are a digital and tech #recruitment agency. Our feed has new #jobs, #careeradvice & industry news",2613,4834,Australia,Melbourne
31,916795037853270016,#Junior Security Analyst: Seeking a Junior Security Analyst with 2-3 years experience working… https://t.co/mWiarrijTw #Australia #ITjobs,0,dlvr.it,2017-10-07 22:39:04,338785232,PaxusIT,Paxus Tech + Digital,2011-07-20 02:49:32,"Looking for a #job in #IT, #digital, #SAP or #tech? We are a digital and tech #recruitment agency. Our feed has new #jobs, #careeradvice & industry news",2613,4834,Australia,Melbourne
32,916795036565516288,#SAP WCEM/Java Developer: Experienced Web Developer with supporting capability for… https://t.co/1onL62G2cU #Australia #ITjobs,0,dlvr.it,2017-10-07 22:39:04,338785232,PaxusIT,Paxus Tech + Digital,2011-07-20 02:49:32,"Looking for a #job in #IT, #digital, #SAP or #tech? We are a digital and tech #recruitment agency. Our feed has new #jobs, #careeradvice & industry news",2613,4834,Australia,Melbourne
33,916795034770407424,#Windows 10 Deployment Technician: Are you looking for work? Applications Packaging Specialist… https://t.co/39gozrPX7f #Australia #ITjobs,0,dlvr.it,2017-10-07 22:39:04,338785232,PaxusIT,Paxus Tech + Digital,2011-07-20 02:49:32,"Looking for a #job in #IT, #digital, #SAP or #tech? We are a digital and tech #recruitment agency. Our feed has new #jobs, #careeradvice & industry news",2613,4834,Australia,Melbourne
34,916795033218461696,#Project Coordinator: Seeking a Project Coordinator with banking/financial services background… https://t.co/iPCIKQv1bV #Australia #ITjobs,0,dlvr.it,2017-10-07 22:39:03,338785232,PaxusIT,Paxus Tech + Digital,2011-07-20 02:49:32,"Looking for a #job in #IT, #digital, #SAP or #tech? We are a digital and tech #recruitment agency. Our feed has new #jobs, #careeradvice & industry news",2613,4834,Australia,Melbourne
35,916795031955968000,#Business Information Security Officer (BISO): Seeking a Business Information Security Officer… https://t.co/Zy1TPW77NZ #Australia #ITjobs,0,dlvr.it,2017-10-07 22:39:03,338785232,PaxusIT,Paxus Tech + Digital,2011-07-20 02:49:32,"Looking for a #job in #IT, #digital, #SAP or #tech? We are a digital and tech #recruitment agency. Our feed has new #jobs, #careeradvice & industry news",2613,4834,Australia,Melbourne
36,916795030488080384,#Business Analyst: Seeking a Functional Business Analyst with experience working on mobile apps… https://t.co/wAlwlyDSS9 #Australia #ITjobs,0,dlvr.it,2017-10-07 22:39:03,338785232,PaxusIT,Paxus Tech + Digital,2011-07-20 02:49:32,"Looking for a #job in #IT, #digital, #SAP or #tech? We are a digital and tech #recruitment agency. Our feed has new #jobs, #careeradvice & industry news",2613,4834,Australia,Melbourne
37,916795029225484288,#Senior Change Manager: Seeking a Senior CM with a strong banking/fin services background who… https://t.co/ygzbYh4W4X #Australia #ITjobs,0,dlvr.it,2017-10-07 22:39:02,338785232,PaxusIT,Paxus Tech + Digital,2011-07-20 02:49:32,"Looking for a #job in #IT, #digital, #SAP or #tech? We are a digital and tech #recruitment agency. Our feed has new #jobs, #careeradvice & industry news",2613,4834,Australia,Melbourne
38,916795027774304256,"#Application Solution Designer (Automation): Work on process automation efforts, with a 2+ year… https://t.co/xJoLehVsgL #Australia #ITjobs",0,dlvr.it,2017-10-07 22:39:02,338785232,PaxusIT,Paxus Tech + Digital,2011-07-20 02:49:32,"Looking for a #job in #IT, #digital, #SAP or #tech? We are a digital and tech #recruitment agency. Our feed has new #jobs, #careeradvice & industry news",2613,4834,Australia,Melbourne
51,916794151311675392,The latest Fusion Tourism! https://t.co/Wf8ZyXriMG #travel #australia,0,Paper.li,2017-10-07 22:35:33,324716443,FusionTourism,FusionTourism,2011-06-27 03:06:13,"Digital Travel Media connecting Small Biz Tourism & Travelers, greater infusion experiences. #Travel #TravelTech #Coaching #Marketing #LiveStreamBroadcasting",9228,6868,Australia,Melbourne
55,916793912332656640,#Australia is such a big country yet the media still concentrate on the eastern states. #insiders,2,Twitter for iPhone,2017-10-07 22:34:36,3323028433,SharleneMelb,Sharlene Kuruppuarac,2015-08-21 23:57:24,??Avid traveller | ????Law student| ??Lover of life|?Sharlenemelb sharlenemelb@gmail.com,200,891,"Melbourne, Australia",Melbourne
65,916793316947009536,"#Honda #Australia are doing #Deals on the #Jazz, a very #clever small #car
https://t.co/euxaSuKdXG
#hondafit… https://t.co/CXgyRxClrW",0,Twitter Web Client,2017-10-07 22:32:14,728025744610230272,CarConversatio1,Car Conversation,2016-05-05 00:57:18,"Independent car reviews, latest car news, best car buying advice, car opinions.",27,1,Australia,Melbourne
113,916789234161262592,"RT @PaulJurak: Neon Pink Infusion
#Canberra #Visitcanberra #Australia #Canonaustralia https://t.co/iuA1pkIfRQ",5,FalconPro3,2017-10-07 22:16:01,568158691,CanberraMel,Canberra Mel ?,2012-05-01 12:24:45,"I love tech gadgets and my morning coffee! Tweets about travel, food & wine, cycling and anything #Canberra",381,268,"Canberra, Australia",Melbourne
121,916788694484320257,@james2121a .@james2121a on #Periscope: quick scope #ausscopeoctober view from top off the park off Newcastle… https://t.co/B62PnGoSR3,0,Twitter for Android,2017-10-07 22:13:52,359877612,annie333333333,Annie,2011-08-22 09:46:15,ostende te,1585,1502,"Melbourne, Victoria",Melbourne
136,916787281867923456,A Compelling statement! Watch @unyouthaus rep @Paige_Burton to @UN on young people: https://t.co/jyvLH2xhfa… https://t.co/txiYIec5bA,0,Twitter for Android,2017-10-07 22:08:15,295508085,JanOwenAM,Jan Owen,2011-05-09 04:59:14,"CEO of the Foundation for Young Australians @fya_org. Passion:social change, innovation, education. Mission:to unleash the potential of young people everywhere.",14495,5111,"Melbourne, Australia",Melbourne
150,916786311473721344,RT @james2121a: quick scope #ausscopeoctober view from top off the park off Newcastle #beach #Australia https://t.co/mE9HKG5LJL,3,Twitter for Android,2017-10-07 22:04:24,359877612,annie333333333,Annie,2011-08-22 09:46:15,ostende te,1585,1502,"Melbourne, Victoria",Melbourne
